Id,Response
1,3
3,6
4,6
9,6
12,6
13,7
21,6
28,7
30,6
36,7
38,8
43,7
45,3
48,7
50,5
51,7
54,6
55,6
59,7
62,3
63,6
66,7
69,8
82,7
83,6
84,6
86,7
89,7
90,5
92,7
98,6
100,3
105,5
115,8
119,2
124,4
127,7
133,7
140,5
141,8
143,4
151,4
154,7
157,7
163,5
166,3
168,8
170,6
173,7
180,6
182,6
184,5
185,7
195,7
196,7
197,6
212,5
213,7
219,7
225,3
227,5
232,4
239,6
247,5
251,5
254,5
261,6
264,5
267,7
272,6
275,8
277,5
283,7
284,3
287,6
291,8
293,5
294,4
305,6
307,4
309,6
311,5
322,3
323,5
326,6
330,2
335,7
337,7
338,6
341,1
346,6
348,5
352,4
356,8
358,3
366,6
369,5
373,5
375,4
381,5
384,7
386,5
396,7
397,3
399,7
405,8
412,7
417,3
421,5
425,6
427,6
430,4
432,5
433,6
436,7
438,6
441,8
442,5
444,5
446,6
448,6
450,6
454,7
465,8
470,6
472,4
475,7
484,7
495,7
497,7
498,7
501,5
502,6
505,7
515,4
516,6
527,7
529,6
531,6
533,6
537,3
541,6
546,7
548,6
549,7
550,6
553,6
559,7
561,5
564,4
574,6
578,6
579,6
580,8
582,5
584,8
588,6
596,5
602,4
603,4
613,7
614,3
619,7
620,6
624,7
625,7
628,6
630,6
635,6
636,5
637,8
641,7
644,8
648,8
654,7
658,5
664,8
666,6
667,6
670,7
672,6
674,7
676,6
684,7
685,5
693,4
694,7
700,4
702,5
703,6
705,6
711,6
718,2
722,7
726,4
727,4
732,8
735,8
740,4
748,6
750,6
751,7
756,6
762,6
766,7
770,6
771,5
779,6
782,4
784,7
793,6
798,5
800,5
801,7
805,6
807,5
813,7
819,7
820,7
822,7
823,6
833,8
834,5
842,4
845,6
856,6
860,5
864,5
869,7
872,6
877,5
878,6
893,6
894,8
896,5
899,5
900,6
911,3
914,8
917,1
919,6
923,4
925,5
926,4
934,6
938,6
940,5
955,6
956,6
971,6
973,7
978,7
979,8
981,7
988,6
990,7
992,4
996,7
997,6
999,6
1000,7
1006,6
1009,3
1018,6
1025,5
1038,7
1042,7
1045,6
1046,7
1047,5
1050,5
1052,7
1054,7
1057,6
1061,3
1069,5
1071,6
1073,6
1074,8
1075,5
